id,fare,tip,dist,long,lat,Count,cluster,State
1,1909897.18,221030.58,668723.35,-73.7767,40.6453,43808,1,NY
2,1506424.66,169349.75,529600.41,-73.7818,40.6447,32328,1,NY
3,1491948.28,258696.52,467598.68,-73.8744,40.774,48919,1,NY
4,1487191.48,209215.99,458119.36,-73.8708,40.7737,49370,1,NY
5,1331123.04,179135.62,408738.3,-73.8709,40.7737,43926,1,NY
6,1296212.88,153523.77,453907.8,-73.7767,40.6454,29118,1,NY
7,1238681.33,140497.96,435264.93,-73.7819,40.6447,26927,1,NY
8,1145678.87,131454.55,9306309.92,-73.782,40.6446,25421,1,NY
9,1129418,125320.64,8393008.58,-73.7766,40.6453,26413,1,NY
10,1125382.64,131014.85,394443.67,-73.7767,40.6452,25938,1,NY
